,survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
1,1,female,38.0,1,0,71.2833,First,C,Cherbourg,n
3,1,female,35.0,1,0,53.1,First,C,Southampton,n
8,1,female,4.0,1,1,16.7,Third,G,Southampton,n
17,1,male,28.0,0,0,35.5,First,A,Southampton,y
20,0,male,19.0,3,2,263.0,First,C,Southampton,n
24,1,female,28.0,1,0,146.5208,First,B,Cherbourg,n
40,1,female,49.0,1,0,76.7292,First,D,Cherbourg,n
42,0,male,65.0,0,1,61.9792,First,B,Cherbourg,n
43,1,male,28.0,0,0,35.5,First,C,Southampton,y
48,1,female,38.0,0,0,80.0,First,B,Cherbourg,y
49,0,male,45.0,1,0,83.475,First,C,Southampton,n
58,0,male,25.0,0,0,7.65,Third,F,Southampton,y
69,1,female,23.0,3,2,263.0,First,C,Southampton,n
71,0,male,46.0,1,0,61.175,First,E,Southampton,n
74,0,male,71.0,0,0,34.6542,First,A,Cherbourg,y
75,1,male,23.0,0,1,63.3583,First,D,Cherbourg,n
80,0,male,21.0,0,1,77.2875,First,D,Southampton,n
86,0,male,47.0,0,0,52.0,First,C,Southampton,y
93,0,male,24.0,0,1,247.5208,First,B,Cherbourg,n
96,1,female,32.5,0,0,13.0,Second,E,Southampton,y
103,1,female,19.0,0,2,26.2833,First,D,Southampton,n
104,0,male,37.0,1,0,53.1,First,C,Southampton,n
106,0,male,24.0,0,0,79.2,First,B,Cherbourg,y
124,1,female,28.0,0,1,55.0,First,E,Southampton,n
129,0,female,50.0,0,0,28.7125,First,C,Cherbourg,y
141,1,male,3.0,1,1,26.0,Second,F,Southampton,n
142,1,female,44.0,0,0,27.7208,First,B,Cherbourg,y
143,1,female,58.0,0,0,146.5208,First,B,Cherbourg,y
150,0,female,2.0,0,1,10.4625,Third,G,Southampton,n
154,1,male,40.0,0,0,31.0,First,A,Cherbourg,y
158,1,female,31.0,1,0,113.275,First,D,Cherbourg,n
169,1,female,35.0,1,0,83.475,First,C,Southampton,n
