iter	Logloss
0	0.6877612849
1	0.682976875
2	0.6778732574
3	0.6721635989
4	0.6665331749
5	0.6608018856
6	0.6557655545
7	0.6508558668
8	0.646495969
9	0.6412801893
10	0.6359631822
11	0.6321590208
12	0.6281516327
13	0.6239089457
14	0.6201588602
15	0.616180741
16	0.6125381421
17	0.6083844526
18	0.6043856788
19	0.6019402375
20	0.5985689137
21	0.5947379143
22	0.5905470214
23	0.5869548954
24	0.583280421
25	0.5800761956
26	0.5766420068
27	0.573203812
28	0.57103585
29	0.5681240613
30	0.5649167978
31	0.5619473963
32	0.5594880407
33	0.5562111575
34	0.5532916013
35	0.5515492983
36	0.5487281472
37	0.5458083067
38	0.542756783
39	0.5404183652
40	0.5376809295
41	0.5352252722
42	0.5321338802
43	0.5306659936
44	0.5285960079
45	0.5261202898
46	0.52413656
47	0.5215550108
48	0.5202254312
49	0.5176886391
50	0.5161717037
51	0.514407536
52	0.5126388949
53	0.5114451538
54	0.5093609788
55	0.5074745526
56	0.5050623817
57	0.502911583
58	0.5018389313
59	0.5007859074
60	0.499752146
61	0.4982094079
62	0.495979074
63	0.4943684168
64	0.4921444025
65	0.4902431834
66	0.4884462059
67	0.4869953833
68	0.4856758282
69	0.4841639513
70	0.4831201296
71	0.4823011259
72	0.4805599463
73	0.4797738323
74	0.4790019864
75	0.4774089768
76	0.4756237999
77	0.4740844129
78	0.472442178
79	0.4712023383
80	0.4703244677
81	0.4689730075
82	0.4678814208
83	0.4665543882
84	0.4649587098
85	0.4634496025
86	0.4623591912
87	0.4613206486
88	0.4598636216
89	0.4586990543
90	0.4573650315
91	0.4559665519
92	0.4547185145
93	0.45379811
94	0.4525152821
95	0.4520194277
96	0.450729574
97	0.4502532128
98	0.4494244562
99	0.448225544
100	0.4473968925
101	0.4469570934
102	0.4457453113
103	0.4448057096
104	0.4441986938
105	0.4437923693
106	0.4423791935
107	0.4416827623
108	0.4406543191
109	0.4397000779
110	0.4386978628
111	0.4380159722
112	0.4368637224
113	0.4361765531
114	0.4351883831
115	0.4344586989
116	0.4335477464
117	0.4324066704
118	0.4314709296
119	0.4304864041
120	0.4295967582
121	0.4290878575
122	0.4282502547
123	0.4273335726
124	0.426622044
125	0.4259931294
126	0.4253332189
127	0.4244773338
128	0.4240214495
129	0.4231976247
130	0.4225279065
131	0.4216477487
132	0.4215604908
133	0.4208016461
134	0.4197444032
135	0.4193943822
136	0.4186283292
137	0.4181229359
138	0.4177785748
139	0.4171706716
140	0.4166953705
141	0.4158964416
142	0.4152393395
143	0.4145460048
144	0.4137580376
145	0.4135497996
146	0.4128746865
147	0.412068293
148	0.4116513935
149	0.4109374994
150	0.4103416548
151	0.4097003718
152	0.4089625183
153	0.4084023611
154	0.4076613139
