PassengerId,Age,SibSp,Parch,Fare,Sex,Embarked,Pclass,Cabin,Survived
1,22,1,0,7,0,0,3,1000,0
2,38,1,0,71,1,2,1,5085,1
3,26,0,0,7,1,0,3,3000,1
4,35,1,0,53,1,0,1,5123,1
5,35,0,0,8,0,0,3,1000,0
6,37,0,0,8,0,1,3,2000,0
7,54,0,0,51,0,0,1,3046,0
8,2,3,1,21,0,0,3,5000,0
9,27,0,2,11,1,0,3,1000,1
10,14,1,0,30,1,2,2,4000,1
11,4,1,1,16,1,0,3,1006,1
12,58,0,0,26,1,0,1,5103,1
13,20,0,0,8,0,0,3,1000,0
14,39,1,5,31,0,0,3,1000,0
15,14,0,0,7,1,0,3,1000,0
16,55,0,0,16,1,0,2,6000,1
17,2,4,1,29,0,1,3,2000,0
18,22,0,0,13,0,0,2,4000,1
19,31,1,0,18,1,0,3,1000,0
20,27,0,0,7,1,2,3,3000,1
21,35,0,0,26,0,0,2,5000,0
22,34,0,0,13,0,0,2,4056,1
23,15,0,0,8,1,1,3,3000,1
24,28,0,0,35,0,0,1,7006,1
25,8,3,1,21,1,0,3,5000,0
26,38,1,5,31,1,0,3,1000,1
27,37,0,0,7,0,2,3,2000,0
28,19,3,2,263,0,0,1,5023,0
29,29,0,0,7,1,1,3,3000,1
30,39,0,0,7,0,0,3,1000,0
31,40,0,0,27,0,2,1,6000,0
32,42,1,0,146,1,2,1,6078,1
33,29,0,0,7,1,1,3,3000,1
34,66,0,0,10,0,0,2,3000,0
35,28,1,0,82,0,2,1,5000,0
36,42,1,0,52,0,0,1,5000,0
37,25,0,0,7,0,2,3,3000,1
38,21,0,0,8,0,0,3,1000,0
39,18,2,0,18,1,0,3,5000,0
40,14,1,0,11,1,2,3,3000,1
41,40,1,0,9,1,0,3,1000,0
42,27,1,0,21,1,0,2,5000,0
43,32,0,0,7,0,2,3,2000,0
44,3,1,2,41,1,2,2,6000,1
45,19,0,0,7,1,1,3,3000,1
46,28,0,0,8,0,0,3,1000,0
47,32,1,0,15,0,1,3,5000,0
48,29,0,0,7,1,1,3,3000,1
49,30,2,0,21,0,2,3,5000,0
50,18,1,0,17,1,0,3,1000,0
51,7,4,1,39,0,0,3,5000,0
52,21,0,0,7,0,0,3,1000,0
53,49,1,0,76,1,2,1,4033,1
54,29,1,0,26,1,0,2,2000,1
55,65,0,1,61,0,2,1,6030,0
56,41,0,0,35,0,0,1,5052,1
57,21,0,0,10,1,0,2,3000,1
58,28,0,0,7,0,2,3,2000,0
59,5,1,2,27,1,0,2,2000,1
60,11,5,2,46,0,0,3,5000,0
61,22,0,0,7,0,2,3,2000,0
62,38,0,0,80,1,0,1,6028,1
63,45,1,0,83,0,0,1,5083,0
64,4,3,2,27,0,0,3,5000,0
65,38,0,0,27,0,2,1,6000,0
66,21,1,1,15,0,2,3,3000,1
67,29,0,0,10,1,0,2,2033,1
68,19,0,0,8,0,0,3,1000,0
69,17,4,2,7,1,0,3,1000,1
70,26,2,0,8,0,0,3,1000,0
71,32,0,0,10,0,0,2,2000,0
72,16,5,2,46,1,0,3,5000,0
73,21,0,0,73,0,0,2,5000,0
74,26,1,0,14,0,2,3,5000,0
75,32,0,0,56,0,0,3,3000,1
76,25,0,0,7,0,0,3,1073,0
77,39,0,0,7,0,0,3,1000,0
78,28,0,0,8,0,0,3,1000,0
79,0,0,2,29,0,0,2,2000,1
80,30,0,0,12,1,0,3,3000,1
81,22,0,0,9,0,0,3,1000,0
82,29,0,0,9,0,0,3,3000,1
83,29,0,0,7,1,1,3,3000,1
84,28,0,0,47,0,0,1,5000,0
85,17,0,0,10,1,0,2,2000,1
86,33,3,0,15,1,0,3,5000,1
87,16,1,3,34,0,0,3,5000,0
88,28,0,0,8,0,0,3,1000,0
89,23,3,2,263,1,0,1,5023,1
90,24,0,0,8,0,0,3,1000,0
91,29,0,0,8,0,0,3,1000,0
92,20,0,0,7,0,0,3,1000,0
93,46,1,0,61,0,0,1,3031,0
94,26,1,2,20,0,0,3,1000,0
95,59,0,0,7,0,0,3,3000,0
96,28,0,0,8,0,0,3,1000,0
97,71,0,0,34,0,2,1,7005,0
98,23,0,1,63,0,2,1,4010,1
99,34,0,1,23,1,0,2,6000,1
100,34,1,0,26,0,0,2,5000,0
101,28,0,0,7,1,0,3,1000,0
102,39,0,0,7,0,0,3,1000,0
103,21,0,1,77,0,0,1,4026,0
104,33,0,0,8,0,0,3,1000,0
105,37,2,0,7,0,0,3,1000,0
106,28,0,0,7,0,0,3,1000,0
107,21,0,0,7,1,0,3,3000,1
108,24,0,0,7,0,0,3,3000,1
109,38,0,0,7,0,0,3,1000,0
110,28,1,0,24,1,1,3,3000,1
111,47,0,0,52,0,0,1,5110,0
112,14,1,0,14,1,2,3,5000,0
113,22,0,0,8,0,0,3,1000,0
114,20,1,0,9,1,0,3,1000,0
115,17,0,0,14,1,2,3,5000,0
116,21,0,0,7,0,0,3,1000,0
117,70,0,0,7,0,1,3,2000,0
118,29,1,0,21,0,0,2,5000,0
119,24,0,1,247,0,2,1,6058,0
120,2,4,2,31,1,0,3,5000,0
121,21,2,0,73,0,0,2,5000,0
122,28,0,0,8,0,0,3,1000,0
123,32,1,0,30,0,2,2,5000,0
124,32,0,0,13,1,0,2,3101,1
125,54,0,1,77,0,0,1,4026,0
126,12,1,0,11,0,2,3,3000,1
127,27,0,0,7,0,1,3,2000,0
128,24,0,0,7,0,0,3,3000,1
129,23,1,1,22,1,2,3,3069,1
130,45,0,0,6,0,0,3,1000,0
131,33,0,0,7,0,2,3,2000,0
132,20,0,0,7,0,0,3,1000,0
133,47,1,0,14,1,0,3,1000,0
134,29,1,0,26,1,0,2,2000,1
135,25,0,0,13,0,0,2,5000,0
136,23,0,0,15,0,2,2,4000,0
137,19,0,2,26,1,0,1,4047,1
138,37,1,0,53,0,0,1,5123,0
139,16,0,0,9,0,0,3,1000,0
140,24,0,0,79,0,2,1,6086,0
141,40,0,2,15,1,2,3,2000,0
142,22,0,0,7,1,0,3,3000,1
143,24,1,0,15,1,0,3,5000,1
144,19,0,0,6,0,1,3,2000,0
145,18,0,0,11,0,0,2,4000,0
146,19,1,1,36,0,0,2,5000,0
147,27,0,0,7,0,0,3,3000,1
148,9,2,2,34,1,0,3,5000,0
149,36,0,2,26,0,0,2,2002,0
150,42,0,0,13,0,0,2,5000,0
151,51,0,0,12,0,0,2,5000,0
152,22,1,0,66,1,0,1,5002,1
153,55,0,0,8,0,0,3,3000,0
154,40,0,2,14,0,0,3,1000,0
155,36,0,0,7,0,0,3,1000,0
156,51,0,1,61,0,2,1,6000,0
157,16,0,0,7,1,1,3,3000,1
158,30,0,0,8,0,0,3,1000,0
159,24,0,0,8,0,0,3,1000,0
160,19,8,2,69,0,0,3,5000,0
161,44,0,1,16,0,0,3,1000,0
162,40,0,0,15,1,0,2,4000,1
163,26,0,0,7,0,0,3,1000,0
164,17,0,0,8,0,0,3,1000,0
165,1,4,1,39,0,0,3,5000,0
166,9,0,2,20,0,0,3,3000,1
167,43,0,1,55,1,0,1,3033,1
168,45,1,4,27,1,0,3,1000,0
169,41,0,0,25,0,0,1,5000,0
170,28,0,0,56,0,0,3,1000,0
171,61,0,0,33,0,0,1,6019,0
172,4,4,1,29,0,1,3,2000,0
173,1,1,1,11,1,0,3,1000,1
174,21,0,0,7,0,0,3,1000,0
175,56,0,0,30,0,2,1,7007,0
176,18,1,1,7,0,0,3,1000,0
177,20,3,1,25,0,0,3,5000,0
178,50,0,0,28,1,2,1,5049,0
179,30,0,0,13,0,0,2,5000,0
180,36,0,0,0,0,0,3,1000,0
181,20,8,2,69,1,0,3,5000,0
182,46,0,0,15,0,2,2,6000,0
183,9,4,2,31,0,0,3,5000,0
184,1,2,1,39,0,0,2,2004,1
185,4,0,2,22,1,0,3,1000,1
186,41,0,0,50,0,0,1,7032,0
187,27,1,0,15,1,1,3,3000,1
188,45,0,0,26,0,0,1,6000,1
189,40,1,1,15,0,1,3,2000,0
190,36,0,0,7,0,0,3,1000,0
191,32,0,0,13,1,0,2,4000,1
192,19,0,0,13,0,0,2,5000,0
193,19,1,0,7,1,0,3,3000,1
194,3,1,1,26,0,0,2,2002,1
195,44,0,0,27,1,2,1,6004,1
196,58,0,0,146,1,2,1,6080,1
197,27,0,0,7,0,1,3,2000,0
198,42,0,1,8,0,0,3,1000,0
199,29,0,0,7,1,1,3,3000,1
200,24,0,0,13,1,0,2,5000,0
201,28,0,0,9,0,0,3,1000,0
202,19,8,2,69,0,0,3,5000,0
203,34,0,0,6,0,0,3,1000,0
204,45,0,0,7,0,2,3,2000,0
205,18,0,0,8,0,0,3,3000,1
206,2,0,1,10,1,0,3,1006,0
207,32,1,0,15,0,0,3,5000,0
208,26,0,0,18,0,2,3,6000,1
209,16,0,0,7,1,1,3,3000,1
210,40,0,0,31,0,2,1,7031,1
211,24,0,0,7,0,0,3,1000,0
212,35,0,0,21,1,0,2,5000,1
213,22,0,0,7,0,0,3,1000,0
214,30,0,0,13,0,0,2,5000,0
215,27,1,0,7,0,1,3,2000,0
216,31,1,0,113,1,2,1,4036,1
217,27,0,0,7,1,0,3,3000,1
218,42,1,0,27,0,0,2,5000,0
219,32,0,0,76,1,2,1,4015,1
220,30,0,0,10,0,0,2,2000,0
221,16,0,0,8,0,0,3,3000,1
222,27,0,0,13,0,0,2,5000,0
223,51,0,0,8,0,0,3,3000,0
224,39,0,0,7,0,0,3,1000,0
225,38,1,0,90,0,0,1,5093,1
226,22,0,0,9,0,0,3,1000,0
227,19,0,0,10,0,0,2,4000,1
228,20,0,0,7,0,0,3,1000,0
229,18,0,0,13,0,0,2,5000,0
230,22,3,1,25,1,0,3,5000,0
231,35,1,0,83,1,0,1,5083,1
232,29,0,0,7,0,0,3,1000,0
233,59,0,0,13,0,0,2,3000,0
234,5,4,2,31,1,0,3,5000,1
235,24,0,0,10,0,0,2,2000,0
236,40,0,0,7,1,0,3,1000,0
237,44,1,0,26,0,0,2,5000,0
238,8,0,2,26,1,0,2,2000,1
239,19,0,0,10,0,0,2,4000,0
240,33,0,0,12,0,0,2,5000,0
241,36,1,0,14,1,2,3,5000,0
242,28,1,0,15,1,1,3,3000,1
243,29,0,0,10,0,0,2,2000,0
244,22,0,0,7,0,0,3,1000,0
245,30,0,0,7,0,2,3,2000,0
246,44,2,0,90,0,1,1,5078,0
247,25,0,0,7,1,0,3,1000,0
248,24,0,2,14,1,0,2,2000,1
249,37,1,1,52,0,0,1,4035,1
250,54,1,0,26,0,0,2,5000,0
251,32,0,0,7,0,0,3,1000,0
252,29,1,1,10,1,0,3,1006,0
253,62,0,0,26,0,0,1,5087,0
254,30,1,0,16,0,0,3,5000,0
255,41,0,2,20,1,0,3,1000,0
256,29,0,2,15,1,2,3,3000,1
257,39,0,0,79,1,2,1,6000,1
258,30,0,0,86,1,0,1,6077,1
259,35,0,0,512,1,2,1,6000,1
260,50,0,1,26,1,0,2,2000,1
261,27,0,0,7,0,1,3,2000,0
262,3,4,2,31,0,0,3,5000,1
263,52,1,1,79,0,0,1,3067,0
264,40,0,0,0,0,0,1,6094,0
265,32,0,0,7,1,1,3,2000,0
266,36,0,0,10,0,0,2,2000,0
267,16,4,1,39,0,0,3,5000,0
268,25,1,0,7,0,0,3,3000,1
269,58,0,1,153,1,0,1,5125,1
270,35,0,0,135,1,0,1,5099,1
271,41,0,0,31,0,0,1,5000,0
272,25,0,0,0,0,0,3,3000,1
273,41,0,1,19,1,0,2,6000,1
274,37,0,1,29,0,2,1,5118,0
275,29,0,0,7,1,1,3,3000,1
276,63,1,0,77,1,0,1,4007,1
277,45,0,0,7,1,0,3,1000,0
278,24,0,0,0,0,0,2,4000,0
279,7,4,1,29,0,1,3,2000,0
280,35,1,1,20,1,0,3,3000,1
281,65,0,0,7,0,1,3,2000,0
